2025 Annual Registration (RSO),,,,,
,,,,,
SubmissionId,DateCreated,Status,Comment,OrganizationType,"How many members are in your student organization? Please use a numerical value (For example,do not use ""n/a"",use ""0"" instead)."
72377645,1/21/2025 22:48,Approved,,Registered Student Organizations,181
71996334,1/10/2025 18:01,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 600 members, but the “Roster” section of your application has 167 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu. ",Registered Student Organizations,600
73907303,2/20/2025 16:44,Approved,,Registered Student Organizations,25
72147795,1/14/2025 20:36,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 180 members, but the “Roster” section of your application has 101 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. There is also a trademark violation in your application. ""ut"" (http://utalpfa.com/) is a trademark of the university and cannot be used by student organizations. Please remove the trademark, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.   ",Registered Student Organizations,180
73665235,2/15/2025 12:40,Approved,,Registered Student Organizations,105
73442980,2/11/2025 14:13,Denied,"Your application has been denied because there is a trademark violation in your application. You can only use ""The University of Texas at Austin"" if it is followed by your organization name and ""at"". Using just The University of Texas without the ""at"" is a trademark of the university and cannot be used by student organizations. Please remove the trademark, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.    ",Registered Student Organizations,101
72987454,2/3/2025 13:57,Denied,"Your application has been denied because your organization’s constitution is missing the following section(s): STATEMENT OF COMPLIANCE; PROHIBITION OF HAZING; CONSTITUTION AMENDMENTS. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  ",Registered Student Organizations,101
73210186,2/7/2025 13:13,Denied,"Your application has been denied because your organization’s constitution is missing the following clause in the CONSTITUTION AMENDMENTS section: ""All amendments or changes to this constitution must be reflected in an updated constitution that must be submitted to Student Activities in the Office of the Dean of Students within 14 days of its approval."" Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance revising this section. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu. ",Registered Student Organizations,49
71826450,1/2/2025 12:10,Approved,,Registered Student Organizations,50
72090720,1/13/2025 14:48,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 40 members, but the “Roster” section of your application has 22 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.   ",Registered Student Organizations,40
72467486,1/23/2025 14:50,Approved,,Registered Student Organizations,21
71866058,1/4/2025 12:28,Approved,,Registered Student Organizations,40
74151209,2/24/2025 21:32,Approved,,Registered Student Organizations,12
74366931,2/28/2025 15:29,Denied,"Your application has been denied because there is a trademark violation in your application. Your organization profile picture includes the phrase ""UT Austin.""  ""UT Austin"" is a trademark of the university and cannot be used by student organizations. Alternatively, ""@ UT Austin"" or ""at UT Austin"" would be acceptable. Please remove the trademark, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.",Registered Student Organizations,24
72401336,1/22/2025 12:18,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 89 members, but the “Roster” section of your application has 39 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  ",Registered Student Organizations,89
73364595,2/11/2025 6:55,Approved,,Registered Student Organizations,35
72395161,1/22/2025 10:33,Approved,,Registered Student Organizations,30
71847487,1/3/2025 15:24,Denied,"Your application has been denied because your organization’s constitution is missing the following section(s): CONSTITUTION AMENDMENTS. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  ",Registered Student Organizations,30
72149213,1/14/2025 21:44,Approved,,Registered Student Organizations,13
72722248,1/28/2025 23:33,Approved,,Registered Student Organizations,61
72601653,1/26/2025 16:46,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 120 members, but the “Roster” section of your application has 61 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.    ",Registered Student Organizations,120
73358045,2/10/2025 11:25,Approved,,Registered Student Organizations,20
74206014,2/25/2025 22:36,Approved,,Registered Student Organizations,41
72048875,1/12/2025 12:46,Approved,,Registered Student Organizations,12
72564769,1/25/2025 18:21,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 300 members, but the “Roster” section of your application has 77 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.   ",Registered Student Organizations,300
74371332,2/28/2025 18:52,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 22 members, but the “Roster” section of your application has 12 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu. ",Registered Student Organizations,22
72761693,1/30/2025 7:08,Pending,,Registered Student Organizations,22
72444466,1/23/2025 9:08,Approved,,Registered Student Organizations,10
73007810,2/3/2025 22:28,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 30 members, but the “Roster” section of your application has 18 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.   ",Registered Student Organizations,30
73952075,2/20/2025 17:56,Approved,,Registered Student Organizations,40
74260831,2/26/2025 12:56,Approved,,Registered Student Organizations,14
71829134,1/2/2025 15:16,Approved,,Registered Student Organizations,16
72598053,1/26/2025 20:49,Approved,,Registered Student Organizations,13
71932785,1/8/2025 9:40,Approved,,Registered Student Organizations,80
74222565,2/25/2025 19:42,Approved,,Registered Student Organizations,290
